V,p
130.358327,2.245531
130.568334,2.263567
130.961534,2.284180
131.316510,2.297064
131.919034,2.309947
132.407123,2.317677
133.072593,2.325407
133.771185,2.330560
134.439352,2.335714
135.430091,2.338290
136.279657,2.335714
137.503469,2.340867
138.353895,2.333137
139.317365,2.327984
140.702573,2.322830
141.858094,2.315100
143.232296,2.315100
144.586975,2.307370
145.730433,2.297064
147.750528,2.289334
148.993089,2.279027
150.973246,2.273874
152.511169,2.260990
154.737342,2.248107
156.267056,2.232647
157.944898,2.217187
160.241940,2.196574
162.126578,2.168231
164.415918,2.137311
166.508902,2.106391
168.262365,2.080624
170.939810,2.062588
172.754188,2.039398
175.648908,2.021361
177.650563,2.003325
180.622999,1.982711
182.672006,1.956945
184.736957,1.928601
187.790417,1.895105
189.886545,1.859032
192.977153,1.820382
195.233947,1.786885
197.495731,1.761119
200.609481,1.743082
202.732176,1.722469
205.840365,1.699279
207.953331,1.673512
210.758901,1.650322
213.407963,1.627132
213.546873,1.596212
216.587877,1.562716
218.779238,1.521489
221.759796,1.469956
224.166667,1.444189
226.410478,1.421000
229.010098,1.402963
231.309308,1.382350
234.062819,1.366890
236.144639,1.346276
237.946145,1.333393
240.293562,1.315356
242.349996,1.297320
244.350322,1.279283
246.397979,1.261247
248.886228,1.240633
250.579411,1.217443
251.833970,1.189100
253.784528,1.165910
255.379371,1.132414
257.310179,1.106647
258.502867,1.078304
259.936198,1.060267
261.212510,1.047384
262.471714,1.031924
263.638701,1.026771
264.603267,1.016464
265.390988,1.006157
266.437290,1.001004
267.115762,0.993274
267.933808,0.988121
268.414572,0.982967
269.029352,0.975237
269.406390,0.970084
269.636089,0.970084
269.875942,0.962354
269.974130,0.962354
269.984053,0.959777
269.906541,0.959777
269.740946,0.954624
269.458350,0.949471
269.096040,0.952047
268.669792,0.949471
268.031274,0.944318
267.537362,0.946894
266.608622,0.944318
265.972623,0.946894
264.919649,0.946894
263.923848,0.944318
262.718135,0.944318
261.679606,0.944318
260.362581,0.944318
259.032647,0.944318
257.544016,0.944318
255.885312,0.952047
254.492401,0.949471
253.042445,0.952047
251.152099,0.952047
249.479398,0.957201
247.540807,0.959777
245.746705,0.962354
243.788188,0.964931
241.201573,0.972661
239.699785,0.975237
237.096349,0.982967
235.034048,0.990697
232.052660,0.998427
230.405767,1.003581
228.091006,1.011311
225.607335,1.016464
223.352950,1.026771
220.665604,1.029347
218.217965,1.037077
216.297393,1.039654
212.975450,1.052537
211.023033,1.060267
207.937704,1.067997
205.683611,1.073150
202.292055,1.080880
200.310642,1.088610
198.187464,1.101494
195.077037,1.111800
192.679879,1.122107
189.870981,1.132414
187.496264,1.150450
184.998023,1.165910
182.245654,1.186523
179.928796,1.212290
177.501565,1.238057
175.104140,1.266400
173.000689,1.284437
170.283146,1.299897
168.500922,1.317933
165.999033,1.333393
163.915994,1.351430
161.401964,1.366890
159.764336,1.384926
157.932325,1.405540
155.704461,1.428729
153.867600,1.451919
151.879252,1.503453
150.359538,1.534373
148.788885,1.565292
146.993495,1.588482
145.720499,1.611672
143.977648,1.632286
142.812009,1.652899
141.073245,1.673512
140.027269,1.701855
139.099029,1.732775
137.753368,1.766272
136.871859,1.810075
135.700497,1.861608
134.943012,1.889952
134.189299,1.915718
133.364828,1.936331
132.745165,1.959521
132.049157,1.974981
131.600441,1.995595
131.232858,2.016208
130.760225,2.036821
130.496726,2.062588
130.228256,2.085778
130.103891,2.106391
130.011451,2.132158
130.007125,2.163077
130.057565,2.193997
130.196448,2.224917
130.417824,2.245531
130.741842,2.268720
131.057321,2.286757
131.428057,2.299640
