tid, volt
1404.312440,-0.000917
1404.815994,-0.000917
1405.320456,-0.000916
1405.826339,-0.000915
1406.331605,-0.000912
1406.838452,-0.000909
1407.344878,-0.000905
1407.852328,-0.000901
1408.357160,-0.000895
1408.864531,-0.000892
1409.372099,-0.000885
1409.877608,-0.000880
1410.383965,-0.000873
1410.888732,-0.000866
1411.394746,-0.000860
1411.901345,-0.000853
1412.406605,-0.000848
1412.914442,-0.000841
1413.420689,-0.000836
1413.926438,-0.000830
1414.431071,-0.000826
1414.936511,-0.000820
1415.441967,-0.000817
1415.947095,-0.000813
1416.454442,-0.000811
1416.961522,-0.000807
1417.466381,-0.000806
1417.974198,-0.000803
1418.478156,-0.000802
1418.983273,-0.000800
1419.490337,-0.000799
1419.995851,-0.000797
1420.500969,-0.000796
1421.006330,-0.000795
1421.511330,-0.000794
1422.017820,-0.000793
1422.523186,-0.000792
1423.030185,-0.000792
1423.536182,-0.000791
1424.042182,-0.000791
1424.547336,-0.000790
1425.054462,-0.000790
1425.561337,-0.000789
1426.067347,-0.000789
1426.572071,-0.000789
1427.077089,-0.000788
1427.582280,-0.000788
1428.089782,-0.000788
1428.594818,-0.000787
1429.101161,-0.000787
1429.607719,-0.000787
1430.114651,-0.000787
1430.619300,-0.000786
1431.124144,-0.000786
1431.627382,-0.000786
1432.132390,-0.000786
1432.637572,-0.000786
1433.143619,-0.000786
1433.648197,-0.000785
1434.154763,-0.000785
1434.660373,-0.000785
1435.166803,-0.000784
1435.673224,-0.000785
1436.177837,-0.000784
1436.683347,-0.000784
1437.189155,-0.000784
1437.694331,-0.000784
1438.201414,-0.000784
1438.707680,-0.000784
1439.212543,-0.000784
1439.718689,-0.000783
1440.226715,-0.000784
1440.733756,-0.000783
1441.240560,-0.000783
1441.746974,-0.000783
1442.253436,-0.000783
1442.759735,-0.000783
1443.265378,-0.000783
1443.772697,-0.000783
1444.278054,-0.000783
1444.783422,-0.000783
1445.288489,-0.000783
1445.793436,-0.000783
1446.297978,-0.000783
1446.804105,-0.000783
1447.309314,-0.000783
1447.816001,-0.000783
1448.322771,-0.000782
1448.828355,-0.000782
1449.334202,-0.000782
1449.839375,-0.000782
1450.345320,-0.000782
1450.852321,-0.000782
1451.359022,-0.000782
1451.864291,-0.000782
1452.369070,-0.000782
1452.876194,-0.000782
1453.382195,-0.000782
1453.887710,-0.000782
1454.391185,-0.000781
1454.895710,-0.000781
1455.401561,-0.000782
1455.905999,-0.000782
1456.412331,-0.000781
1456.917860,-0.000781
1457.422266,-0.000781
1457.927295,-0.000781
1458.433192,-0.000781
1458.937393,-0.000781
1459.442565,-0.000781
1459.948818,-0.000781
1460.454963,-0.000781
1460.960331,-0.000781
1461.467509,-0.000781
1461.973053,-0.000781
1462.479209,-0.000781
1462.985592,-0.000781
1463.491333,-0.000781
1463.997486,-0.000781
1464.503554,-0.000781
1465.008703,-0.000781
1465.514993,-0.000781
1466.020397,-0.000780
1466.526474,-0.000780
1467.031476,-0.000780
1467.536474,-0.000780
1468.040794,-0.000780
1468.546004,-0.000780
1469.051619,-0.000780
1469.556954,-0.000780
1470.064135,-0.000780
1470.568743,-0.000780
1471.073296,-0.000780
1471.579015,-0.000780
1472.085598,-0.000780
1472.592217,-0.000780
1473.097394,-0.000780
1473.603493,-0.000780
1474.108925,-0.000780
1474.614106,-0.000780
1475.120603,-0.000780
1475.627240,-0.000780
1476.132861,-0.000780
1476.638936,-0.000780
1477.145298,-0.000780
1477.652467,-0.000780
1478.159389,-0.000780
1478.665051,-0.000780
1479.172212,-0.000780
1479.677699,-0.000780
1480.183785,-0.000779
1480.689673,-0.000780
1481.194870,-0.000780
1481.702378,-0.000780
1482.208482,-0.000780
1482.714895,-0.000779
1483.220542,-0.000780
1483.727825,-0.000779
1484.235177,-0.000780
1484.740178,-0.000780
1485.247252,-0.000780
1485.754364,-0.000780
1486.260678,-0.000780
1486.765809,-0.000780
1487.271430,-0.000780
1487.776344,-0.000779
1488.282597,-0.000780
1488.787813,-0.000780
1489.293778,-0.000780
1489.799807,-0.000779
1490.304702,-0.000779
1490.811846,-0.000780
1491.316408,-0.000780
1491.821351,-0.000779
1492.328447,-0.000780
1492.833786,-0.000779
1493.339408,-0.000779
1493.843829,-0.000779
1494.349930,-0.000779
1494.856173,-0.000779
1495.362647,-0.000780
1495.869644,-0.000779
1496.376709,-0.000779
1496.883057,-0.000780
1497.388540,-0.000779
1497.893378,-0.000779
1498.400340,-0.000779
1498.905262,-0.000779
1499.411436,-0.000779
1499.917070,-0.000779
