I1_A,U1_V,P1_W,cosphi,M_Nm,n_rpm,Pin_W,Pin_alt_W,s,Put_W,cosphi1,eta
4,230,103.4,0.198,0.4,1494,310.2,315.510375106747,0.4,62.5805256595087,0.194667449459372,0.201742506961666
4.5,230,343.5,0.58,4.8,1467,1030.5,1039.7500997836,2.2,737.394627650596,0.574840050627932,0.715569750267439
5,230,468.5,0.697,6.8,1452,1405.5,1388.32532480683,3.2,1033.96097414947,0.70562243769219,0.735653485698664
5.5,230,548.8,0.756,8.1,1441,1646.4,1656.42946931042,3.93333333333333,1222.29945373218,0.751422516358735,0.742407345561334
5.8,230,594.4,0.776,9,1432,1783.2,1792.99128318238,4.53333333333333,1349.62820398218,0.771762368829791,0.756857449518941
6.5,230,707.2,0.823,10.7,1416,2121.6,2131.08933287063,5.6,1586.62995376899,0.81933533853693,0.747845943518566
